title,imdb_rating
07:19,6.0
23:59,4.6
9,7.7
21,6.8
122,6.8
706,5.3
1920,6.4
1922,6.3
1983,7.7
3022,4.6
Oct-01,6.6
15-Aug,5.8
#Roxy,5.0
"¡Ay, mi madre!",3.8
Ég man þig,6.1
Æon Flux,5.5
14 Cameras,4.5
1BR,5.8
1st Summoning,3.3
2 States,8.2
2307: Winter's Dream,3.8
3 Days to Kill,6.2
3 Deewarein,7.8
3 Idiots,8.4
3 Türken & ein Baby,5.5
30 Minutes or Less,6.1
5 to 7,7.1
6 Days,6.2
6 Underground,6.1
6 Years,5.6
6-5=2,5.9
68 Kill,6.0
7 años,6.8
7 Khoon Maaf,6.1
90 ML,3.3
93 Days,6.0
A Beautiful Life,4.5
A Billion Colour Story,7.9
A Boy Called Po,6.6
A Cinderella Story,5.9
A Family Affair,5.1
A Flying Jatt,3.1
A Futile and Stupid Gesture,6.8
A Glimpse Inside the Mind of Charles Swan III,4.8
A Love Story,6.4
A Night at the Roxbury,6.3
A Patch of Fog,6.4
A Perfect Ending,5.7
A Perfect Man,5.2
A Scandall,3.0
A Second Chance,7.1
A Serious Man,7.0
A Single Man,7.6
A Sort of Homecoming,5.8
A Sun,7.6
A Very Special Love,6.7
A Wednesday,8.1
A Witches' Ball,5.1
A Wrinkle in Time,4.2
A Yellow Bird,5.5
A.M.I.,3.9
Aadu 2,7.1
Aagey Se Right,5.0
Aalorukkam,6.6
Aamir,7.7
Aapla Manus,7.4
Aarakshan,6.2
Aashayein,7.1
Abby Sen,5.8
Abhinetri,6.1
Abzurdah,5.4
Acapulco La vida va,5.4
Accident,7.8
Across the Universe,7.3
Act of Valor,6.5
Action Replayy,4.2
Acts of Violence,5.3
Adú,6.7
Advantageous,6.2
Aerials,1.6
Africa,4.5
After,7.0
After Life,7.6
Aftermath,4.9
Afterschool,6.1
Aftershock,4.3
Agent,4.4
Agneepath,7.7
Agyaat,2.9
Ahista Ahista,7.0
Airplane Mode,3.5
Aitraaz,6.6
Aiyaary,5.3
Aiyyaa,4.4
Ajab Prem Ki Ghazab Kahani,6.3
Ajji,6.9
Ala Vaikunthapurramuloo,7.1
Albert Pinto Ko Gussa Kyun Aata Hai?,5.6
Albion: The Enchanted Stallion,5.2
Alelí,6.4
Alex Strangelove,6.3
Ali Baba ve 7 Cüceler,5.8
Alibaba Aur 40 Chor,6.2
Alien Warfare,2.6
Alive and Kicking,6.5
All About Nina,6.0
All Day and a Night,5.8
All Hallows' Eve,5.0
All Light Will End,4.0
All of You,5.3
All the Boys Love Mandy Lane,5.5
All Together Now,6.5
Alles ist gut,6.5
Alone,4.2
Alone/Together,7.0
Altered Carbon: Resleeved,6.5
Always a Bridesmaid,5.6
Always Be My Maybe,6.8
Amar,7.0
Amar Akbar & Tony,5.2
Amar Akbar Anthony,7.5
Amateur,6.9
American Assassin,6.2
American Beauty,8.3
American Heist,5.0
American History X,8.5
American Honey,7.0
American Psycho,7.6
American Son,5.7
Amrapali,6.7
Amy,6.7
An Evening with Beverly Luff Linn,5.7
An Interview with God,5.7
An Ordinary Man,5.4
Ana e Vitória,6.6
Anaamika,5.6
Anchor and Hope,6.3
Andaz Apna Apna,8.2
Andhadhun,8.3
Anesthesia,6.1
Angamaly Diaries,8.0
Angel Eyes,4.2
Angry Indian Goddesses,7.0
Ani... Dr. Kashinath Ghanekar,8.6
Animal Crackers,7.5
Anjaan,5.0
Ankhon Dekhi,8.0
Ankur Arora Murder Case,6.5
Annabelle Hooper and the Ghosts of Nantucket,5.6
Anon,6.1
Another Life,6.3
Ant-Man and the Wasp,7.1
Anthony Kaun Hai?,5.3
Antidote,3.4
Anwar,6.7
Apaharan,7.4
Apollo 18,5.2
Aquarius,7.5
Arès,6.2
"Aram, Aram",6.5
Arjun: The Warrior Prince,6.8
ARQ,6.4
Article 15,8.2
Ascharyachakit!,4.9
Asees,7.4
Asoka,6.5
Assimilate,5.3
Asura Guru,3.1
Aurora,8.1
Austin Powers in Goldmember,6.2
Autohead,5.9
Automata,6.1
Ava,6.7
Ave Maryam,7.4
Avengers: Infinity War,8.4
Await Further Instructions,4.8
Away,6.8
Axone,7.0
Azhar,5.8
B.A. Pass,6.4
B.A. Pass 2,2.1
Baadshaho,4.9
Baaghi,4.4
Baazaar,6.6
Babel,3.7
Baby,6.1
Back of the Net,5.1
Backcountry,6.0
Backfire,3.4
Backtrack,5.9
Bad Blood,6.4
Bad Boys,7.2
Bad Boys II,6.6
Bad Day for the Cut,6.5
Bad Education,7.1
Bad Guys,4.6
Bad Match,5.5
Bad Seeds,3.1
Badla,7.8
Badland,6.1
Balto,7.1
Balu Mahi,6.3
Banana Split,6.6
Band Aid,6.6
Band of Robbers,6.0
Bang Rajan 2,5.5
Bangistan,4.6
Barah Aana,6.8
Barbecue,6.1
Barbie in Rock 'N Royals,6.0
Barcelona: A Love Untold,6.8
Bareilly Ki Barfi,7.5
Barfi!,8.1
Barrio Universitario,3.5
Barry,5.8
Barsaat,7.9
Basic Instinct,7.0
Batman: The Killing Joke,6.4
Battle,2.0
Battle Drone,5.2
Bawarchi,8.0
Bazaar,7.3
Be Somebody,5.6
Be with Me,7.0
Beasts of No Nation,7.7
Beats,7.1
Beauty and the Bestie,4.8
Becoming,4.6
Becoming Jane,7.1
Bee Movie,6.1
Been So Long,5.4
Beiimaan Love,2.8
Belgica,6.7
Belmonte,6.2
Below Her Mouth,5.5
Benchwarmers 2: Breaking Balls,4.1
Beneath the Leaves,4.5
Benji,6.3
Bennett's War,5.7
Berlin Calling,7.3
"Berlin, I Love You",4.6
Between,4.2
Between Worlds,4.2
Bewafaa,4.3
